id,name,year,glottocode,map_name_full,note
1,Atures,1500,maco1238,Figura 6,
2,Caribe del Sur de la Guayana,1500,cari1283,Figura 7,
3,Galibi (Caribe),1500,gali1262,Figura 7,
4,Guaiqueri,1500,vene1261,Figura 6,
5,"Guama, Guamontey",1500,guam1236,Figura 7,
6,Otomaco,1500,otom1301,Figura 7,
7,Pareca,1500,,Figura 6,
8,Payaro,1500,enap1235,Figura 6,
9,Puinave,1500,puin1248,Figura 7,
10,Quaqua,1500,,Figura 6,
11,Saliva,1500,sali1298,Figura 7,
12,Tamanaco,1500,tama1338,Figura 6,
13,Wanai (Mapoyo),1500,mapo1246,Figura 6,
14,Yabarana,1500,yaba1248,Figura 6,
15,Yaruro,1500,pume1238,Figura 6,
16,Yaruro,1500,yawu1243,Figura 7,
